2026-05-06 15:02:45.723 [main] INFO  [] e.o.c.ChatServiceApplication - Starting ChatServiceApplication using Java 21.0.7 with PID 847 (/Users/matchattatoyaem/Adelaide Lecture/capstone-project/ai-platform/chat-service/build/classes/java/main started by matchattatoyaem in /Users/matchattatoyaem/Adelaide Lecture/capstone-project/ai-platform/chat-service)
2026-05-06 15:02:45.724 [main] INFO  [] e.o.c.ChatServiceApplication - The following 1 profile is active: "local"
2026-05-06 15:02:46.129 [main] INFO  [] o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8082 (http)
2026-05-06 15:02:46.133 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2026-05-06 15:02:46.133 [main] INFO  [] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-06 15:02:46.133 [main] INFO  [] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.18]
2026-05-06 15:02:46.147 [main] INFO  [] o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 407 ms
2026-05-06 15:02:46.195 [main] INFO  [] n.d.b.g.c.a.GrpcClientAutoConfiguration - Detected grpc-netty-shaded: Creating ShadedNettyChannelFactory + InProcessChannelFactory
2026-05-06 15:02:47.060 [main] INFO  [] o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-05-06 15:02:47.154 [main] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - Starting...
2026-05-06 15:02:47.154 [main] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@19213a74]]
2026-05-06 15:02:47.154 [main] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - Started.
2026-05-06 15:02:47.155 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2026-05-06 15:02:47.158 [main] INFO  [] o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8082 (http) with context path '/'
2026-05-06 15:02:47.161 [main] INFO  [] e.o.c.ChatServiceApplication - Started ChatServiceApplication in 1.59 seconds (process running for 1.803)
2026-05-06 15:03:36.543 [SpringApplicationShutdownHook] INFO  [] o.s.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-05-06 15:03:36.547 [tomcat-shutdown] INFO  [] o.s.boot.tomcat.GracefulShutdown - Graceful shutdown complete
2026-05-06 15:03:36.549 [SpringApplicationShutdownHook] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - Stopping...
2026-05-06 15:03:36.549 [SpringApplicationShutdownHook] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@19213a74]]
2026-05-06 15:03:36.549 [SpringApplicationShutdownHook] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - Stopped.
2026-05-06 15:03:38.283 [main] INFO  [] e.o.c.ChatServiceApplication - Starting ChatServiceApplication using Java 21.0.7 with PID 3160 (/Users/matchattatoyaem/Adelaide Lecture/capstone-project/ai-platform/chat-service/build/classes/java/main started by matchattatoyaem in /Users/matchattatoyaem/Adelaide Lecture/capstone-project/ai-platform/chat-service)
2026-05-06 15:03:38.284 [main] INFO  [] e.o.c.ChatServiceApplication - The following 1 profile is active: "local"
2026-05-06 15:03:38.688 [main] INFO  [] o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8082 (http)
2026-05-06 15:03:38.692 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2026-05-06 15:03:38.697 [main] INFO  [] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-06 15:03:38.697 [main] INFO  [] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.18]
2026-05-06 15:03:38.711 [main] INFO  [] o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 407 ms
2026-05-06 15:03:38.753 [main] INFO  [] n.d.b.g.c.a.GrpcClientAutoConfiguration - Detected grpc-netty-shaded: Creating ShadedNettyChannelFactory + InProcessChannelFactory
2026-05-06 15:03:39.668 [main] INFO  [] o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-05-06 15:03:39.761 [main] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - Starting...
2026-05-06 15:03:39.762 [main] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@4c9ef9c9]]
2026-05-06 15:03:39.762 [main] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - Started.
2026-05-06 15:03:39.762 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2026-05-06 15:03:39.765 [main] INFO  [] o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8082 (http) with context path '/'
2026-05-06 15:03:39.768 [main] INFO  [] e.o.c.ChatServiceApplication - Started ChatServiceApplication in 1.645 seconds (process running for 1.862)
2026-05-06 15:04:09.564 [http-nio-8082-exec-1] INFO  [] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-06 15:04:09.565 [http-nio-8082-exec-1] INFO  [] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-05-06 15:04:09.566 [http-nio-8082-exec-1] INFO  [] o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-05-06 15:04:09.572 [http-nio-8082-exec-1] WARN  [9991670a1af3] o.s.w.s.h.HandlerMappingIntrospector - Cache miss for REQUEST dispatch to '/api/chat-sessions/a702516e-c8ad-4b66-8fff-7766c5e26862/answer-rating' (previous null). Performing CorsConfiguration lookup. This is logged once only at WARN level, and every time at TRACE.
2026-05-06 15:04:09.626 [http-nio-8082-exec-1] INFO  [9991670a1af3] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-05-06 15:04:09.691 [http-nio-8082-exec-1] INFO  [9991670a1af3] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@764a46ff
2026-05-06 15:04:09.691 [http-nio-8082-exec-1] INFO  [9991670a1af3] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
